Understanding Twitter conversations: A Wordle case study
Graph machine learning with missing node features
Next generation data insights using natural language queries
Investing in privacy enhancing tech to advance transparency in ML
Model-based candidate generation for account recommendations
A hybrid approach to personalize notification volume
GNNs through the lens of differential geometry and algebraic topology
Speeding up Transformer CPU inference in Google Cloud
Forecasting SQL query resource usage with machine learning
How we rolled out security keys at Twitter
